id,ticket_id,author_id,body,public,created_at
10006-1,10006,51018,"I returned my order #392075 15 days ago adn haven't seen a refund yet, can you check?",True,2025-07-11T20:00:08
10006-2,10006,906,"I'm sorry for the trouble, checking your account now.",True,2025-07-11T23:17:08
10006-3,10006,51018,My bank still shows no refund received.,True,2025-07-12T00:52:08
10006-4,10006,906,"I'm sorry for the trouble, checking your account now.",True,2025-07-12T04:27:08
10006-5,10006,51018,"OK, still waiting to hear back.",True,2025-07-12T06:14:08
10006-6,10006,906,"Thanks for the details, give me a moment to check on this.",True,2025-07-12T08:03:08
10006-7,10006,51018,Any news?,True,2025-07-12T10:09:08
10006-8,10006,906,"Thanks for confirming, I've closed this out on our end.",True,2025-07-12T12:07:08
10006-9,10006,51018,"Great, appreciate the quick resolution.",True,2025-07-12T12:31:08
10007-1,10007,50234,"Hi, I can't log into my account, it keeps saying my password is wrong even after resetting it.",True,2025-07-16T18:29:58
10007-2,10007,901,"I'm sorry for the trouble, checking your account now.",True,2025-07-16T19:04:58
10007-3,10007,50234,I've tried clearing my cache and cookies too.,True,2025-07-16T19:34:58
10007-4,10007,901,"Thanks for the details, give me a moment to check on this.",True,2025-07-17T00:33:58
10007-5,10007,50234,Following up on this.,True,2025-07-17T01:35:58
10007-6,10007,901,"All set on our side now, thanks for your patience.",True,2025-07-17T04:48:58
10007-7,10007,50234,"Great, appreciate the quick resolution.",True,2025-07-17T05:43:58
10008-1,10008,50038,"Hello, just checking on the status of order #323508, it's been a few days and I haven't heard anything.",True,2025-07-22T05:52:06
10008-2,10008,914,"Thanks for reaching out, let me look into this for you.",True,2025-07-22T09:23:06
10008-3,10008,50038,"Still no movement on the tracking page, is that normal?",True,2025-07-22T14:16:06
10009-1,10009,50833,"Hi, quick question about your returns policy, can I return an item I already opened?",True,2025-06-25T00:40:32
10009-2,10009,921,"I'm sorry for the trouble, checking your account now.",True,2025-06-25T01:52:32
10009-3,10009,50833,Is there a restocking fee?,True,2025-06-25T05:48:32
10009-4,10009,921,"This has been taken care of, apologies again for the inconvenience.",True,2025-06-25T10:45:32
10009-5,10009,50833,Thanks for the help!,True,2025-06-25T11:59:32
10010-1,10010,51262,"Hello, just checking on the status of order #475190, it's been a few days and I haven't heard anything.",True,2025-08-12T11:09:55
10010-2,10010,911,"I'm sorry for the trouble, checking your account now.",True,2025-08-12T11:55:55
10010-3,10010,51262,Any update on this? It's been a while.,True,2025-08-12T15:36:55
10010-4,10010,911,"Thanks for the details, give me a moment to check on this.",True,2025-08-12T17:17:55
10010-5,10010,51262,Following up on this.,True,2025-08-12T19:12:55
10011-1,10011,53516,"Hi, I was only refunded part of my order, can you check what happened? Hi, the amount charged to my card doesn't match my order total, can you check?",True,2025-08-14T07:51:58
10011-2,10011,915,"I understand the frustration, let's get this sorted out.",True,2025-08-14T09:25:58
10011-3,10011,53516,Can someone look into the difference?,True,2025-08-14T14:09:58
10011-4,10011,915,"Thanks for the details, give me a moment to check on this.",True,2025-08-14T15:18:58
10011-5,10011,53516,Following up on this.,True,2025-08-14T16:13:58
10011-6,10011,915,"Thanks for reaching out, let me look into this for you.",True,2025-08-14T17:30:58
10011-7,10011,53516,Following up on this.,True,2025-08-14T18:07:58
10011-8,10011,915,"All set on our side now, thanks for your patience.",True,2025-08-14T20:08:58
10011-9,10011,53516,Thanks for the help!,True,2025-08-14T21:08:58
10012-1,10012,52129,"Hi, I'm getting a payment error and can't finish my order.",True,2025-08-05T11:37:47
10012-2,10012,925,"Thanks for the details, give me a moment to check on this.",True,2025-08-05T13:51:47
10012-3,10012,52129,Is there an issue on your end with payments?,True,2025-08-05T17:30:47
10012-4,10012,925,"I'm sorry for the trouble, checking your account now.",True,2025-08-05T21:06:47
10012-5,10012,52129,Any news?,True,2025-08-05T22:05:47
10013-1,10013,52244,"Hi, the amount charged to my card doesn't match my order total, can you check?",True,2025-06-20T03:09:27
10013-2,10013,900,"Thanks for the details, give me a moment to check on this.",True,2025-06-20T04:26:27
10013-3,10013,52244,"I have both charges on my statement, want me to send a screenshot?",True,2025-06-20T05:23:27
10013-4,10013,900,"I've resolved this on our end, please let us know if you need anything else.",True,2025-06-20T08:11:27
10013-5,10013,52244,"Great, appreciate the quick resolution.",True,2025-06-20T08:21:27
10014-1,10014,52942,Order #821024 was supposed to arrive on Jul 06 and it's still not here. What's going on?,True,2025-07-07T09:03:15
10014-2,10014,922,"Thanks for reaching out, let me look into this for you.",True,2025-07-07T13:02:15
10014-3,10014,52942,"Actually, sorry, let me explain the real issue. Hi, quick question about your returns policy, can I return an item I already opened?",True,2025-07-07T17:05:15
10014-4,10014,922,"Thanks for the details, give me a moment to check on this.",True,2025-07-07T21:46:15
10014-5,10014,52942,Following up on this.,True,2025-07-07T23:49:15
10014-6,10014,922,"I understand the frustration, let's get this sorted out.",True,2025-07-08T03:03:15
10014-7,10014,52942,Any news?,True,2025-07-08T05:33:15
10014-8,10014,922,"Thanks for confirming, I've closed this out on our end.",True,2025-07-08T06:23:15
10014-9,10014,52942,"Perfect, thank you.",True,2025-07-08T07:25:15
10015-1,10015,51124,"I just opened my package for order #435239 adn the running shoes is missing, only the rest of the items were inside.",True,2025-06-27T00:10:15
10015-2,10015,914,"Thanks for reaching out, let me look into this for you.",True,2025-06-27T04:06:15
10015-3,10015,51124,Can yuo send the missing item or refund it?,True,2025-06-27T07:30:15
10015-4,10015,914,"I understand the frustration, let's get this sorted out.",True,2025-06-27T10:59:15
10015-5,10015,51124,Following up on this.,True,2025-06-27T13:26:15
10015-6,10015,914,"I'm sorry for the trouble, checking your account now.",True,2025-06-27T16:44:15
10015-7,10015,51124,"OK, still waiting to hear back.",True,2025-06-27T18:58:15
10015-8,10015,914,"I've resolved this on our end, please let us know if you need anything else.",True,2025-06-27T20:17:15
10015-9,10015,51124,"Perfect, thank you.",True,2025-06-27T21:11:15
10016-1,10016,52548,The yoga mat I ordered stopped working after 8 days of normal use.,True,2025-07-06T20:45:37
10016-2,10016,917,"I understand the frustration, let's get this sorted out.",True,2025-07-06T22:16:37
10016-3,10016,52548,Can I get a replacement or refund?,True,2025-07-07T00:48:37
10016-4,10016,917,"I understand the frustration, let's get this sorted out.",True,2025-07-07T03:07:37
10016-5,10016,52548,Following up on this.,True,2025-07-07T03:21:37
10016-6,10016,917,"All set on our side now, thanks for your patience.",True,2025-07-07T05:49:37
10016-7,10016,52548,Thanks for the help!,True,2025-07-07T06:22:37
10017-1,10017,50816,I got refunded for order #219946 but the amount is way less than what I paid.,True,2025-06-22T17:06:08
10017-2,10017,900,"I'm sorry for the trouble, checking your account now.",True,2025-06-22T20:30:08
10017-3,10017,50816,I paid $194 and only got a fraction of that back.,True,2025-06-22T23:19:08
10017-4,10017,900,"I understand the frustration, let's get this sorted out.",True,2025-06-23T02:08:08
10017-5,10017,50816,Following up on this.,True,2025-06-23T03:59:08
10017-6,10017,900,"This has been taken care of, apologies again for the inconvenience.",True,2025-06-23T04:59:08
10017-7,10017,50816,"Perfect, thank you.",True,2025-06-23T05:17:08
10018-1,10018,52182,"Hi, the color/size I received doesn't match order #113266 at all.",True,2025-06-07T06:38:32
10018-2,10018,913,"I understand the frustration, let's get this sorted out.",True,2025-06-07T07:52:32
10018-3,10018,52182,Should I send this one back first?,True,2025-06-07T12:00:32
10018-4,10018,913,"I've resolved this on our end, please let us know if you need anything else.",True,2025-06-07T14:27:32
10018-5,10018,52182,"OK thank you, that answers my question.",True,2025-06-07T15:07:32
10019-1,10019,50117,Order #936587 was supposed to arrive on Jun 08 and it's still not here. What's going on?,True,2025-06-17T13:14:31
10019-2,10019,915,"I'm sorry for the trouble, checking your account now.",True,2025-06-17T15:41:31
10019-3,10019,50117,Do you have an updated delivry estimate?,True,2025-06-17T19:54:31
10019-4,10019,915,"All set on our side now, thanks for your patience.",True,2025-06-17T22:34:31
10019-5,10019,50117,"Perfect, thank you.",True,2025-06-18T00:03:31
10020-1,10020,51441,Order #856321 shows as delivered but I never received anything. I've checked with neighbours and the building office.,True,2025-06-28T21:49:16
10020-2,10020,922,"I'm sorry for the trouble, checking your account now.",True,2025-06-28T22:19:16
10020-3,10020,51441,"I've looked everywhere, it's genuinely not here.",True,2025-06-29T01:00:16
10020-4,10020,922,"This has been taken care of, apologies again for the inconvenience.",True,2025-06-29T04:14:16
10020-5,10020,51441,Thanks for the help!,True,2025-06-29T04:54:16
10021-1,10021,52612,"Hi, my order arrived and teh laptop sleeve is broken, it won't turn on at all.",True,2025-08-19T10:29:00
10021-2,10021,924,"Thanks for reaching out, let me look into this for you.",True,2025-08-19T13:29:00
10021-3,10021,52612,"I've tried everything, it's definitely faulty.",True,2025-08-19T14:56:00
10021-4,10021,924,"Thanks for reaching out, let me look into this for you.",True,2025-08-19T19:54:00
10021-5,10021,52612,"OK, still waiting to hear back.",True,2025-08-19T21:07:00
10021-6,10021,924,"I understand the frustration, let's get this sorted out.",True,2025-08-19T23:39:00
10021-7,10021,52612,Following up on this.,True,2025-08-20T02:24:00
10021-8,10021,924,"Thanks for confirming, I've closed this out on our end.",True,2025-08-20T05:12:00
10021-9,10021,52612,"OK thank you, that answers my question.",True,2025-08-20T06:14:00
10022-1,10022,53124,"Hello, just checking on the status of order #351516, it's been a few days and I haven't heard anything.",True,2025-06-25T02:07:42
10022-2,10022,906,"I understand the frustration, let's get this sorted out.",True,2025-06-25T03:24:42
10022-3,10022,53124,Any update on this? It's been a while.,True,2025-06-25T04:10:42
10022-4,10022,906,"I'm sorry for the trouble, checking your account now.",True,2025-06-25T06:35:42
10022-5,10022,53124,"OK, still waiting to hear back.",True,2025-06-25T08:33:42
10022-6,10022,906,"This has been taken care of, apologies again for the inconvenience.",True,2025-06-25T11:02:42
10022-7,10022,53124,"Great, appreciate the quick resolution.",True,2025-06-25T11:41:42
10023-1,10023,51798,"I returned my order #385470 9 days ago and haven't seen a refund yet, can you check?",True,2025-06-28T16:17:44
10023-2,10023,903,"Thanks for reaching out, let me look into this for you.",True,2025-06-28T19:14:44
10023-3,10023,51798,"Actually, sorry, let me explain the real issue. Hi, quick question about your returns policy, can I return an item I already opened?",True,2025-06-28T21:41:44
10023-4,10023,903,"All set on our side now, thanks for your patience.",True,2025-06-28T23:20:44
10023-5,10023,51798,"OK thank you, that answers my question.",True,2025-06-28T23:48:44
10024-1,10024,51672,Order #531641 was supposed to arrive on May 25 and it's still not here. What's going on?,True,2025-06-10T12:30:54
10024-2,10024,910,"Thanks for reaching out, let me look into this for you.",True,2025-06-10T14:46:54
10024-3,10024,51672,Do you have an updated delivery estimate?,True,2025-06-10T19:33:54
10024-4,10024,910,"I understand the frustration, let's get this sorted out.",True,2025-06-10T22:48:54
10024-5,10024,51672,Any news?,True,2025-06-11T01:38:54
10024-6,10024,910,"This has been taken care of, apologies again for the inconvenience.",True,2025-06-11T02:01:54
10024-7,10024,51672,"OK thank you, that answers my question.",True,2025-06-11T02:42:54
10025-1,10025,52907,"Hi, when will I get my money back for the item I sent back?",True,2025-06-02T05:52:35
10025-2,10025,905,"I'm sorry for the trouble, checking your account now.",True,2025-06-02T07:57:35
10025-3,10025,52907,It's been longer than the timeline you gave me.,True,2025-06-02T12:00:35
10025-4,10025,905,"I'm sorry for the trouble, checking your account now.",True,2025-06-02T16:30:35
10025-5,10025,52907,Any news?,True,2025-06-02T16:57:35
10025-6,10025,905,"All set on our side now, thanks for your patience.",True,2025-06-02T18:53:35
10025-7,10025,52907,Thanks for the help!,True,2025-06-02T20:43:35
10026-1,10026,51829,"My card keeps getting declined when I try to check out, even though there are funds available.",True,2025-07-01T06:13:35
10026-2,10026,917,"I understand the frustration, let's get this sorted out.",True,2025-07-01T09:36:35
10026-3,10026,51829,Is there an issue on your end with payments?,True,2025-07-01T10:08:35
10026-4,10026,917,"I understand the frustration, let's get this sorted out.",True,2025-07-01T14:20:35
10026-5,10026,51829,Following up on this.,True,2025-07-01T16:08:35
10027-1,10027,53580,"Hello, just checking on the status of order #251157, it's been a few days and I haven't heard anything.",True,2025-08-22T20:53:29
10027-2,10027,914,"I understand the frustration, let's get this sorted out.",True,2025-08-23T00:36:29
10027-3,10027,53580,"Still no movement on teh tracking page, is that normal?",True,2025-08-23T03:28:29
10027-4,10027,914,"All set on our side now, thanks for your patience.",True,2025-08-23T04:13:29
10027-5,10027,53580,Thanks for the help!,True,2025-08-23T04:47:29
10028-1,10028,50681,What's the process to send back an item I ordered? It doesn't fit.,True,2025-06-03T15:14:02
10028-2,10028,922,"I understand the frustration, let's get this sorted out.",True,2025-06-03T15:39:02
10028-3,10028,50681,Where do I send the package back to?,True,2025-06-03T17:52:02
10028-4,10028,922,"I understand the frustration, let's get this sorted out.",True,2025-06-03T21:58:02
10028-5,10028,50681,Following up on this.,True,2025-06-03T23:13:02
10029-1,10029,50302,"I moved recently and my order #544920 is still set to go to my old address, can this be fixed?",True,2025-08-29T21:33:37
10029-2,10029,914,"Thanks for the details, give me a moment to check on this.",True,2025-08-30T00:37:37
10029-3,10029,50302,I'm worried it will ship before this gets fixed.,True,2025-08-30T00:58:37
10030-1,10030,53177,Order #299367 was supposed to arrive on Jul 23 and it's still not here. What's going on?,True,2025-08-12T23:50:22
10030-2,10030,925,"Thanks for the details, give me a moment to check on this.",True,2025-08-13T02:23:22
10030-3,10030,53177,"It's been 12 extra days now, this is getting frustrating.",True,2025-08-13T03:40:22
10030-4,10030,925,"This has been taken care of, apologies again for the inconvenience.",True,2025-08-13T06:21:22
10030-5,10030,53177,"Perfect, thank you.",True,2025-08-13T06:42:22
10031-1,10031,53303,"Hi, my delivery is running late, I ordered the sneakers over a week ago.",True,2025-07-01T19:56:51
10031-2,10031,909,"Thanks for the details, give me a moment to check on this.",True,2025-07-01T21:35:51
10031-3,10031,53303,Do you have an updated delivery estimate?,True,2025-07-02T01:00:51
10031-4,10031,909,"Thanks for the details, give me a moment to check on this.",True,2025-07-02T01:22:51
10031-5,10031,53303,"OK, still waiting to hear back.",True,2025-07-02T04:08:51
10031-6,10031,909,"Thanks for confirming, I've closed this out on our end.",True,2025-07-02T07:03:51
10031-7,10031,53303,"Perfect, thank you.",True,2025-07-02T08:37:51
10032-1,10032,51246,The bluetooth speaker I ordered stopped working after 12 days of normal use.,True,2025-06-22T08:55:56
10032-2,10032,915,"I understand the frustration, let's get this sorted out.",True,2025-06-22T11:37:56
10032-3,10032,51246,"I've tried everything, it's definitely faulty.",True,2025-06-22T14:10:56
10032-4,10032,915,"This has been taken care of, apologies again for the inconvenience.",True,2025-06-22T17:29:56
10032-5,10032,51246,"Perfect, thank you.",True,2025-06-22T19:23:56
10033-1,10033,51630,"Hi, I was supposed to get a discount but my order #196126 was charged full price.",True,2025-06-12T02:51:54
10033-2,10033,908,"I'm sorry for the trouble, checking your account now.",True,2025-06-12T05:20:54
10033-3,10033,51630,The code was definitely still valid.,True,2025-06-12T06:05:54
10033-4,10033,908,"I've resolved this on our end, please let us know if you need anything else.",True,2025-06-12T08:14:54
10033-5,10033,51630,"Great, appreciate the quick resolution.",True,2025-06-12T08:54:54
10034-1,10034,52707,"Hi, the amount charged to my card doesn't match my order total, can you check?",True,2025-07-03T14:35:50
10034-2,10034,900,"Thanks for reaching out, let me look into this for you.",True,2025-07-03T16:51:50
10034-3,10034,52707,"I have both charges on my statement, want me to send a screenshot?",True,2025-07-03T20:52:50
10034-4,10034,900,"Thanks for the details, give me a moment to check on this.",True,2025-07-03T21:24:50
10034-5,10034,52707,Following up on this.,True,2025-07-03T23:31:50
10034-6,10034,900,"Thanks for confirming, I've closed this out on our end.",True,2025-07-03T23:48:50
10034-7,10034,52707,"OK thank you, that answers my question.",True,2025-07-04T01:41:50
10035-1,10035,50330,"Hi, my order arrived but it's short one item, the box wasn't damaged so I'm not sure what happened.",True,2025-06-06T23:29:08
10035-2,10035,910,"I'm sorry for the trouble, checking your account now.",True,2025-06-07T00:03:08
10035-3,10035,50330,"Actually, sorry, let me explain the real issue. Have you considered adding more filters to the search page? Would make browsing easier.",True,2025-06-07T03:53:08
10035-4,10035,910,"Thanks for confirming, I've closed this out on our end.",True,2025-06-07T07:27:08
10035-5,10035,50330,"Perfect, thank you.",True,2025-06-07T08:12:08
10036-1,10036,50373,"My card keeps getting declined when I try to check out, even though there are funds available.",True,2025-06-09T18:56:47
10036-2,10036,902,"I understand the frustration, let's get this sorted out.",True,2025-06-09T22:13:47
10036-3,10036,50373,Is there an issue on your end with payments?,True,2025-06-09T22:49:47
10036-4,10036,902,"This has been taken care of, apologies again for the inconvenience.",True,2025-06-10T01:38:47
10036-5,10036,50373,"OK thank you, that answers my question.",True,2025-06-10T02:02:47
10037-1,10037,53123,"Hi, I was supposed to get a discount but my order #904711 was charged full price.",True,2025-08-13T11:24:27
10037-2,10037,908,"Thanks for the details, give me a moment to check on this.",True,2025-08-13T14:44:27
10037-3,10037,53123,Can yuo apply it retroactively or refund the difference?,True,2025-08-13T17:47:27
10037-4,10037,908,"Thanks for reaching out, let me look into this for you.",True,2025-08-13T22:46:27
10037-5,10037,53123,Following up on this.,True,2025-08-13T23:32:27
10038-1,10038,50644,"I want to file a complaint, my overall experience with this order has been really disappointing.",True,2025-06-30T12:37:49
10038-2,10038,911,"I understand the frustration, let's get this sorted out.",True,2025-06-30T15:31:49
10038-3,10038,50644,I'd like to know how this will be addressed.,True,2025-06-30T19:49:49
10038-4,10038,911,"I've resolved this on our end, please let us know if you need anything else.",True,2025-06-30T23:31:49
10038-5,10038,50644,"OK thank you, that answers my question.",True,2025-07-01T00:20:49
10039-1,10039,50903,Order #321494 was supposed to arrive on May 31 and it's still not here. What's going on?,True,2025-06-05T23:40:00
10039-2,10039,912,"Thanks for the details, give me a moment to check on this.",True,2025-06-06T00:43:00
10039-3,10039,50903,Do you have an updated delivry estimate?,True,2025-06-06T01:29:00
10039-4,10039,912,"All set on our side now, thanks for your patience.",True,2025-06-06T01:48:00
10039-5,10039,50903,"OK thank you, that answers my question.",True,2025-06-06T03:06:00
10040-1,10040,51330,"Hi, I was supposed to get a discount but my order #479430 was charged full price.",True,2025-07-27T06:18:29
10040-2,10040,905,"Thanks for the details, give me a moment to check on this.",True,2025-07-27T07:42:29
10040-3,10040,51330,Can you apply it retroactively or refund teh difference?,True,2025-07-27T09:45:29
10040-4,10040,905,"I'm sorry for the trouble, checking your account now.",True,2025-07-27T10:53:29
10040-5,10040,51330,Any news?,True,2025-07-27T12:32:29
10041-1,10041,51048,"Hi, I'm getting a payment error and can't finish my order.",True,2025-06-14T21:56:48
10041-2,10041,906,"Thanks for the details, give me a moment to check on this.",True,2025-06-15T00:40:48
10041-3,10041,51048,I've tried two different cards now.,True,2025-06-15T03:31:48
10041-4,10041,906,"All set on our side now, thanks for your patience.",True,2025-06-15T07:26:48
10041-5,10041,51048,"Perfect, thank you.",True,2025-06-15T09:12:48
10042-1,10042,51851,"Hi, I placed order #996840 on Aug 12 and I can't find any tracking info. Can you tell me where it is?",True,2025-08-15T16:52:18
10042-2,10042,901,"I'm sorry for the trouble, checking your account now.",True,2025-08-15T18:58:18
10042-3,10042,51851,"Still no movement on the tracking page, is that normal?",True,2025-08-15T19:39:18
10042-4,10042,901,"Thanks for reaching out, let me look into this for you.",True,2025-08-15T22:44:18
10042-5,10042,51851,Following up on this.,True,2025-08-16T01:03:18
10042-6,10042,901,"Thanks for reaching out, let me look into this for you.",True,2025-08-16T01:57:18
10042-7,10042,51851,Following up on this.,True,2025-08-16T03:10:18
10043-1,10043,51674,"Hi, the amount charged to my card doesn't match my order total, can you check?",True,2025-07-25T10:06:03
10043-2,10043,924,"Thanks for reaching out, let me look into this for you.",True,2025-07-25T11:36:03
10043-3,10043,51674,This needs to be corrected soon.,True,2025-07-25T12:58:03
10043-4,10043,924,"I understand the frustration, let's get this sorted out.",True,2025-07-25T15:46:03
10043-5,10043,51674,Following up on this.,True,2025-07-25T16:29:03
10043-6,10043,924,"Thanks for reaching out, let me look into this for you.",True,2025-07-25T19:40:03
10043-7,10043,51674,Following up on this.,True,2025-07-25T21:09:03
10043-8,10043,924,"All set on our side now, thanks for your patience.",True,2025-07-25T22:55:03
10043-9,10043,51674,"Great, appreciate the quick resolution.",True,2025-07-26T00:44:03
10044-1,10044,51482,"Hi, when will I get my money back for the item I sent back?",True,2025-06-17T09:47:13
10044-2,10044,900,"Thanks for reaching out, let me look into this for you.",True,2025-06-17T13:25:13
10044-3,10044,51482,It's been longer than the timeline you gave me.,True,2025-06-17T16:27:13
10044-4,10044,900,"I'm sorry for the trouble, checking your account now.",True,2025-06-17T18:09:13
10044-5,10044,51482,Any news?,True,2025-06-17T21:23:13
10044-6,10044,900,"This has been taken care of, apologies again for the inconvenience.",True,2025-06-17T21:44:13
10044-7,10044,51482,"Perfect, thank you.",True,2025-06-17T22:45:13
10045-1,10045,51267,"Hi, my delivery is running late, I ordered the laptop sleeve over a week ago.",True,2025-08-22T06:45:53
10045-2,10045,925,"Thanks for reaching out, let me look into this for you.",True,2025-08-22T07:54:53
10045-3,10045,51267,Do you have an updated delivery estimate?,True,2025-08-22T12:10:53
10045-4,10045,925,"Thanks for the details, give me a moment to check on this.",True,2025-08-22T16:44:53
10045-5,10045,51267,"OK, still waiting to hear back.",True,2025-08-22T17:15:53
10045-6,10045,925,"I understand the frustration, let's get this sorted out.",True,2025-08-22T18:34:53
10045-7,10045,51267,"OK, still waiting to hear back.",True,2025-08-22T20:55:53
10045-8,10045,925,"This has been taken care of, apologies again for the inconvenience.",True,2025-08-22T22:56:53
10045-9,10045,51267,"OK thank you, that answers my question.",True,2025-08-23T00:45:53
10046-1,10046,51531,Order #434165 was supposed to arrive on Jun 04 adn it's still not here. What's going on?,True,2025-06-08T10:16:23
10046-2,10046,907,"I understand the frustration, let's get this sorted out.",True,2025-06-08T13:35:23
10046-3,10046,51531,"It's been 13 extra days now, this is getting frustrating.",True,2025-06-08T17:34:23
10046-4,10046,907,"This has been taken care of, apologies again for the inconvenience.",True,2025-06-08T18:24:23
10046-5,10046,51531,"OK thank you, that answers my question.",True,2025-06-08T19:39:23
10047-1,10047,50195,"I got refunded for order #216242 but the amount is way less than what I paid. Hi, the amount charged to my card doesn't match my order total, can you check?",True,2025-08-12T06:17:39
10047-2,10047,907,"I understand the frustration, let's get this sorted out.",True,2025-08-12T07:23:39
10047-3,10047,50195,I paid $19 and only got a fraction of that back.,True,2025-08-12T09:08:39
10047-4,10047,907,"I've resolved this on our end, please let us know if you need anything else.",True,2025-08-12T12:22:39
10047-5,10047,50195,"OK thank you, that answers my question.",True,2025-08-12T13:16:39
10048-1,10048,51462,"Quick question, is the desk lamp compatible with older devices?",True,2025-06-22T22:44:46
10048-2,10048,925,"I understand the frustration, let's get this sorted out.",True,2025-06-23T02:08:46
10048-3,10048,51462,"Also, what material is it made from?",True,2025-06-23T06:23:46
10048-4,10048,925,"Thanks for confirming, I've closed this out on our end.",True,2025-06-23T07:42:46
10048-5,10048,51462,"Perfect, thank you.",True,2025-06-23T07:51:46
10049-1,10049,52111,"Hi, the courier says my package for order #889882 was delivered but it's nowhere to be found.",True,2025-07-20T10:16:30
10049-2,10049,912,"I understand the frustration, let's get this sorted out.",True,2025-07-20T12:13:30
10049-3,10049,52111,"I've looked everywhere, it's genuinely not here.",True,2025-07-20T15:16:30
10049-4,10049,912,"Thanks for the details, give me a moment to check on this.",True,2025-07-20T19:40:30
10049-5,10049,52111,Any news?,True,2025-07-20T22:02:30
10049-6,10049,912,"I've resolved this on our end, please let us know if you need anything else.",True,2025-07-20T22:33:30
10049-7,10049,52111,"Great, appreciate the quick resolution.",True,2025-07-20T23:33:30
10050-1,10050,51255,Is there any way to get notified when the wireless headphones is restocked?,True,2025-07-09T18:51:10
10050-2,10050,914,"I understand the frustration, let's get this sorted out.",True,2025-07-09T19:15:10
10050-3,10050,51255,"I really want this before Jun 24, is that realistic?",True,2025-07-09T22:31:10
10050-4,10050,914,"Thanks for confirming, I've closed this out on our end.",True,2025-07-09T22:56:10
