id,subject,description,status,priority,type,via_channel,tags,requester_id,assignee_id,group_id,created_at,updated_at,true_category_id_triage,true_category_id_final,taxonomy_version,is_drift_case,is_ambiguous_case,ambiguous_with_category_id,is_injected_new_category
10020,My order never arrived,Order #856321 shows as delivered but I never received anything. I've checked with neighbours and the building office.,solved,urgent,problem,email,,51441,922,1,2025-06-28T21:49:16,2025-06-29T04:54:16,ORD-003,ORD-003,1,False,False,,False
10021,Item stopped working,"Hi, my order arrived and teh laptop sleeve is broken, it won't turn on at all.",solved,low,task,web_widget,"ecommerce,web",52612,924,1,2025-08-19T10:29:00,2025-08-20T06:14:00,PRD-001,PRD-001,1,False,False,,False
10022,Tracking question,"Hello, just checking on the status of order #351516, it's been a few days and I haven't heard anything.",solved,low,incident,email,"web,vip",53124,906,1,2025-06-25T02:07:42,2025-06-25T11:41:42,ORD-001,ORD-001,1,False,False,,False
10023,Still waiting on refund for #385470,"I returned my order #385470 9 days ago and haven't seen a refund yet, can you check?",closed,normal,task,email,vip,51798,903,1,2025-06-28T16:17:44,2025-06-28T23:48:44,RET-002,RET-004,1,True,False,,False
10024,Delivery delay on #531641,Order #531641 was supposed to arrive on May 25 and it's still not here. What's going on?,solved,high,task,web_widget,"web,priority",51672,910,1,2025-06-10T12:30:54,2025-06-11T02:42:54,ORD-002,ORD-002,1,False,False,,False
10025,Where is my refund?,"Hi, when will I get my money back for the item I sent back?",solved,low,problem,email,"mobile_app,priority",52907,905,1,2025-06-02T05:52:35,2025-06-02T20:43:35,RET-002,RET-002,1,False,False,,False
10026,Card not working at checkout,"My card keeps getting declined when I try to check out, even though there are funds available.",open,normal,question,web_widget,"vip,ecommerce",51829,917,1,2025-07-01T06:13:35,2025-07-01T19:04:35,PAY-001,PAY-001,1,False,False,,False
10027,Tracking question,"Hello, just checking on the status of order #251157, it's been a few days and I haven't heard anything.",closed,normal,question,email,"ecommerce,mobile_app",53580,914,1,2025-08-22T20:53:29,2025-08-23T04:47:29,ORD-001,ORD-001,1,False,False,,False
10028,How do I return this?,What's the process to send back an item I ordered? It doesn't fit.,pending,normal,problem,email,,50681,922,1,2025-06-03T15:14:02,2025-06-03T23:25:02,RET-001,RET-001,1,False,False,,False
10029,Wrong address on order,"I moved recently and my order #544920 is still set to go to my old address, can this be fixed?",pending,normal,question,email,"mobile_app,vip",50302,914,2,2025-08-29T21:33:37,2025-08-30T03:28:37,ORD-005,ORD-005,1,False,False,,False
10030,Package hasn't arrived yet,Order #299367 was supposed to arrive on Jul 23 and it's still not here. What's going on?,solved,normal,problem,email,mobile_app,53177,925,1,2025-08-12T23:50:22,2025-08-13T06:42:22,ORD-002,ORD-002,1,False,False,,False
10031,Package hasn't arrived yet,"Hi, my delivery is running late, I ordered the sneakers over a week ago.",solved,normal,question,web_widget,,53303,909,2,2025-07-01T19:56:51,2025-07-02T08:37:51,ORD-002,ORD-002,1,False,False,,False
10032,Defective bluetooth speaker,The bluetooth speaker I ordered stopped working after 12 days of normal use.,solved,low,problem,web_widget,"vip,ecommerce",51246,915,1,2025-06-22T08:55:56,2025-06-22T19:23:56,PRD-001,PRD-001,1,False,False,,False
10033,Discount code not working,"Hi, I was supposed to get a discount but my order #196126 was charged full price.",solved,urgent,problem,email,,51630,908,1,2025-06-12T02:51:54,2025-06-12T08:54:54,PAY-004,PAY-004,1,False,False,,False
10034,Charged twice,"Hi, the amount charged to my card doesn't match my order total, can you check?",solved,normal,question,web_widget,ecommerce,52707,900,1,2025-07-03T14:35:50,2025-07-04T01:41:50,PAY-002,PAY-002,1,False,False,,False
10035,Order #763829 missing an item,"Hi, my order arrived but it's short one item, the box wasn't damaged so I'm not sure what happened.",solved,normal,incident,email,ecommerce,50330,910,1,2025-06-06T23:29:08,2025-06-07T08:12:08,ORD-004,GEN-002,1,True,False,,False
10036,Card not working at checkout,"My card keeps getting declined when I try to check out, even though there are funds available.",closed,low,question,web_widget,"vip,ecommerce",50373,902,1,2025-06-09T18:56:47,2025-06-10T02:02:47,PAY-001,PAY-001,1,False,False,,False
10037,Didn't get my discount,"Hi, I was supposed to get a discount but my order #904711 was charged full price.",open,low,incident,web_widget,vip,53123,908,1,2025-08-13T11:24:27,2025-08-14T02:24:27,PAY-004,PAY-004,1,False,False,,False
10038,Frustrated customer,"I want to file a complaint, my overall experience with this order has been really disappointing.",closed,low,task,web_widget,ecommerce,50644,911,1,2025-06-30T12:37:49,2025-07-01T00:20:49,GEN-001,GEN-001,1,False,False,,False
10039,My order is late,Order #321494 was supposed to arrive on May 31 and it's still not here. What's going on?,solved,normal,task,web_widget,ecommerce,50903,912,2,2025-06-05T23:40:00,2025-06-06T03:06:00,ORD-002,ORD-002,1,False,False,,False
10040,Coupon issue at checkout,"Hi, I was supposed to get a discount but my order #479430 was charged full price.",open,normal,incident,web_widget,,51330,905,2,2025-07-27T06:18:29,2025-07-27T15:48:29,PAY-004,PAY-004,1,False,False,,False
10041,Card not working at checkout,"Hi, I'm getting a payment error and can't finish my order.",solved,normal,problem,web_widget,mobile_app,51048,906,1,2025-06-14T21:56:48,2025-06-15T09:12:48,PAY-001,PAY-001,1,False,False,,False
10042,Tracking question,"Hi, I placed order #996840 on Aug 12 and I can't find any tracking info. Can you tell me where it is?",open,normal,incident,web_widget,mobile_app,51851,901,1,2025-08-15T16:52:18,2025-08-16T05:12:18,ORD-001,ORD-001,1,False,False,,False
10043,Duplicate charge on my card,"Hi, the amount charged to my card doesn't match my order total, can you check?",closed,normal,question,web_widget,web,51674,924,1,2025-07-25T10:06:03,2025-07-26T00:44:03,PAY-002,PAY-002,1,False,False,,False
10044,Refund status,"Hi, when will I get my money back for the item I sent back?",solved,normal,task,web_widget,,51482,900,1,2025-06-17T09:47:13,2025-06-17T22:45:13,RET-002,RET-002,1,False,False,,False
10045,Delivery delay on #811256,"Hi, my delivery is running late, I ordered the laptop sleeve over a week ago.",solved,high,question,web_widget,web,51267,925,2,2025-08-22T06:45:53,2025-08-23T00:45:53,ORD-002,ORD-002,1,False,False,,False
10046,My order is late,Order #434165 was supposed to arrive on Jun 04 adn it's still not here. What's going on?,solved,low,problem,web_widget,,51531,907,1,2025-06-08T10:16:23,2025-06-08T19:39:23,ORD-002,ORD-002,1,False,False,,False
10047,Refund doesn't match order #216242,"I got refunded for order #216242 but the amount is way less than what I paid. Hi, the amount charged to my card doesn't match my order total, can you check?",solved,low,task,email,ecommerce,50195,907,1,2025-08-12T06:17:39,2025-08-12T13:16:39,RET-003,RET-003,1,False,True,PAY-002,False
10048,Question before buying,"Quick question, is the desk lamp compatible with older devices?",closed,low,incident,email,vip,51462,925,1,2025-06-22T22:44:46,2025-06-23T07:51:46,PRD-003,PRD-003,1,False,False,,False
10049,Lost order #889882,"Hi, the courier says my package for order #889882 was delivered but it's nowhere to be found.",closed,normal,problem,web_widget,vip,52111,912,2,2025-07-20T10:16:30,2025-07-20T23:33:30,ORD-003,ORD-003,1,False,False,,False
10050,Out of stock item,Is there any way to get notified when the wireless headphones is restocked?,closed,low,problem,web_widget,"ecommerce,priority",51255,914,1,2025-07-09T18:51:10,2025-07-09T23:05:10,PRD-004,PRD-004,1,False,False,,False
10051,Card not working at checkout,"Hi, I'm getting a payment error and can't finish my order.",closed,low,question,web_widget,"mobile_app,ecommerce",52781,914,2,2025-07-04T20:40:28,2025-07-05T09:10:28,PAY-001,PAY-001,1,False,False,,False
10052,Question before buying,"Hi, before I order the sunglasses, does it come in a larger size?",pending,low,task,email,"mobile_app,web",53319,921,2,2025-08-29T19:12:20,2025-08-30T08:29:20,PRD-003,PRD-003,1,False,False,,False
10053,Quick question,"Hi, I have a question but I'm not totally sure it's the right team to ask.",solved,high,problem,web_widget,"vip,priority",53150,913,2,2025-06-07T17:06:08,2025-06-08T01:40:08,GEN-OTHER,GEN-OTHER,1,False,False,,False
10054,Received wrong product,"I ordered the denim jacket but recieved a completely different item. Hi, my order arrived and the denim jacket is broken, it won't turn on at all.",solved,low,task,web_widget,,52560,909,1,2025-06-09T12:05:32,2025-06-10T02:49:32,PRD-002,PRD-002,1,False,True,PRD-001,False
10055,Return process question,"Hi, I'd like to return the denim jacket from order #462147, can you send me a return label?",pending,normal,question,email,"mobile_app,priority",51393,919,1,2025-08-18T09:56:45,2025-08-18T20:21:45,RET-001,PRD-002,1,True,False,,False
10056,How long do I have to return an item?,"Hi, quick question about your returns policy, can I return an item I already opened?",closed,low,task,email,web,50881,918,1,2025-06-05T14:24:18,2025-06-06T01:51:18,RET-004,RET-004,1,False,False,,False
10057,Refund status,"Hi, when will I get my money back for the item I sent back? I was charged twice for order #933510, can you refund the duplicate?",closed,normal,task,email,mobile_app,52786,919,1,2025-08-28T18:06:06,2025-08-29T03:41:06,RET-002,RET-002,1,False,True,PAY-002,False
10058,Random query,This might not be the right place but I wasn't sure where else to send this.,closed,low,task,web_widget,,53341,900,1,2025-08-01T07:57:07,2025-08-01T15:48:07,GEN-OTHER,GEN-OTHER,1,False,False,,False
10059,Defective desk lamp,"Hi, my order arrived and the desk lamp is broken, it won't turn on at all.",solved,normal,task,web_widget,web,51691,922,1,2025-07-16T16:14:49,2025-07-17T06:58:49,PRD-001,PRD-001,1,False,False,,False
10060,Does this come in other sizes?,"Hi, before I order the leather wallet, does it come in a larger size?",solved,normal,incident,web_widget,,53257,923,1,2025-06-12T02:14:36,2025-06-12T14:48:36,PRD-003,PRD-003,1,False,False,,False
10061,Stock availability question,"Hi, the sunglasses shows as out of stock, do you know when it'll be available again?",closed,normal,task,email,,50410,913,1,2025-07-13T23:58:06,2025-07-14T12:08:06,PRD-004,GEN-OTHER,1,True,False,,False
10062,Where is my order?,"Hello, just checking on the status of order #270387, it's been a few days and I haven't heard anything.",closed,low,problem,email,,53485,916,1,2025-06-18T13:12:51,2025-06-19T04:46:51,ORD-001,ORD-001,1,False,False,,False
10063,Stock availability question,"Hi, the desk lamp shows as out of stock, do you know when it'll be available again?",pending,low,task,web_widget,ecommerce,52735,903,1,2025-06-15T12:54:25,2025-06-16T03:56:25,PRD-004,PRD-004,1,False,False,,False
10064,Return policy question,"Hi, quick question about your returns policy, can I return an item I already opened?",solved,normal,question,email,"ecommerce,web",52310,903,1,2025-07-20T20:21:57,2025-07-21T08:55:57,RET-004,RET-004,1,False,False,,False
10065,Not happy with my experience,"Hi, I've had several issues with my last few orders and I'm not happy with the service.",open,normal,incident,email,,51735,911,2,2025-07-20T06:11:03,2025-07-20T11:51:03,GEN-001,GEN-001,1,False,False,,False
10066,Wrong refund amount,"Hi, I was only refunded part of my order, can you check what happened?",solved,low,question,web_widget,,53419,900,2,2025-08-29T01:32:19,2025-08-29T06:28:19,RET-003,RET-003,1,False,False,,False
10067,Package hasn't arrived yet,"Hi, my delivery is running late, I ordered the leather wallet over a week ago.",closed,normal,problem,web_widget,"mobile_app,priority",52210,906,2,2025-08-10T15:20:03,2025-08-11T10:14:03,ORD-002,ORD-002,1,False,False,,False
10068,Invoice request for #160423,"Hi, could you send me an invoice for order #160423? I need it for accounting.",closed,high,problem,web_widget,,53478,907,1,2025-08-04T09:43:09,2025-08-04T21:58:09,PAY-003,PAY-001,1,True,False,,False
10069,Not sure who to ask,"Hi, I have a question but I'm not totally sure it's the right team to ask.",pending,normal,problem,email,vip,50867,906,2,2025-06-11T16:16:47,2025-06-12T01:48:47,GEN-OTHER,GEN-OTHER,1,False,False,,False
10070,Delivery delay on #373441,Order #373441 was supposed to arrive on Jun 03 and it's still not here. What's going on?,closed,normal,task,web_widget,"ecommerce,web",51695,901,1,2025-06-21T03:22:47,2025-06-21T12:55:47,ORD-002,ORD-002,1,False,False,,False
10071,Incorrect charge amount,"I was charged twice for order #532424, can yuo refund the duplicate?",closed,high,incident,web_widget,,53436,902,2,2025-07-31T19:44:03,2025-08-01T05:56:03,PAY-002,PAY-002,1,False,False,,False
10072,Package marked delivered but I got nothing,"Hi, the courier says my package for order #471658 was delivered but it's nowhere to be found.",closed,normal,question,web_widget,vip,52147,904,1,2025-07-27T09:55:33,2025-07-27T19:06:33,ORD-003,ORD-003,1,False,False,,False
10073,Lost order #825916,"Hi, the courier says my package for order #825916 was delivered but it's nowhere to be found. Hi, when will I get my money back for the item I sent back?",pending,normal,problem,web_widget,"priority,ecommerce",52317,903,2,2025-08-23T15:55:02,2025-08-23T22:25:02,ORD-003,ORD-003,1,False,True,RET-002,False
10074,Where is my refund?,"I returned my order #979414 11 days ago and haven't seen a refund yet, can you check?",solved,normal,problem,web_widget,,52051,923,2,2025-06-05T21:18:06,2025-06-06T07:02:06,RET-002,RET-002,1,False,False,,False
10075,Where is my order?,"Hi, I placed order #191537 on Aug 03 and I can't find any tracking info. Can you tell me where it is?",solved,low,problem,web_widget,ecommerce,50021,909,1,2025-08-09T07:11:17,2025-08-09T22:12:17,ORD-001,ORD-001,1,False,False,,False
10076,Return policy question,How many days do I have to return something after delivery?,closed,low,task,email,mobile_app,51479,908,2,2025-08-05T14:49:40,2025-08-05T21:44:40,RET-004,RET-004,1,False,False,,False
10077,Receipt for accounting,"Hi, could you send me an invoice for order #512022? I need it for accounting.",solved,normal,task,web_widget,"mobile_app,web",52358,925,1,2025-07-05T05:30:17,2025-07-05T14:06:17,PAY-003,PAY-003,1,False,False,,False
10078,Refund status,"I returned my order #138551 14 days ago and haven't seen a refund yet, can you check?",solved,normal,problem,web_widget,,52188,916,2,2025-08-19T03:44:44,2025-08-19T16:27:44,RET-002,LOY-001,1,True,False,,False
10079,Partial refund issue,"Hi, I was only refunded part of my order, can you check what happened?",open,low,task,web_widget,,50475,923,1,2025-06-29T09:20:21,2025-06-29T22:59:21,RET-003,RET-003,1,False,False,,False
10080,Defective phone case,The phone case I ordered stopped working after 8 days of normal use.,solved,normal,problem,web_widget,"mobile_app,ecommerce",52623,921,1,2025-06-03T15:46:47,2025-06-04T01:38:47,PRD-001,PRD-001,1,False,False,,False
10081,Receipt for accounting,"Hi, could you send me an invoice for order #840282? I need it for accounting.",solved,normal,incident,web_widget,web,51425,911,2,2025-07-27T04:38:11,2025-07-27T16:53:11,PAY-003,PRD-003,1,True,False,,False
10082,Package hasn't arrived yet,"Hi, my delivery is running late, I ordered the sunglasses over a week ago.",closed,normal,question,email,web,50219,911,2,2025-07-15T02:38:08,2025-07-15T17:41:08,ORD-002,ORD-001,1,True,False,,False
10083,Can't complete checkout,"My card keeps getting declined when I try to check out, even though there are funds available.",solved,low,problem,email,"ecommerce,priority",50895,913,1,2025-08-15T13:19:41,2025-08-16T00:51:41,PAY-001,PAY-001,1,False,False,,False
10084,Can't log in,"The password reset link you sent isn't working, can you help me get back in?",solved,normal,task,web_widget,"vip,ecommerce",53072,925,1,2025-06-06T09:30:17,2025-06-06T21:07:17,ACC-001,ACC-001,1,False,False,,False
10085,Didn't get my discount,I used the code SUMMER20 but it didn't apply any discount at checkout.,pending,normal,question,email,priority,53259,917,1,2025-08-28T02:54:27,2025-08-28T06:44:27,PAY-004,PAY-004,1,False,False,,False
10086,Locked out of my account,"Hi, I can't log into my account, it keeps saying my password is wrong even after resetting it.",solved,low,problem,email,priority,52820,904,2,2025-06-28T11:26:10,2025-06-28T19:46:10,ACC-001,ACC-001,1,False,False,,False
10087,Need an invoice,"Hi, could yuo send me an invoice for order #208214? I need it for accounting.",solved,low,question,web_widget,"web,vip",51956,902,1,2025-06-09T03:08:46,2025-06-09T14:53:46,PAY-003,PAY-003,1,False,False,,False
10088,Locked out of my account,"Hi, I can't log into my account, it keeps saying my password is wrong even after resetting it.",solved,normal,question,web_widget,,53190,922,1,2025-08-17T02:27:42,2025-08-17T11:02:42,ACC-001,ACC-001,1,False,False,,False
10089,Complaint about recent order,"Hi, I've had several issues with my last few orders and I'm not happy with the service.",closed,normal,incident,web_widget,,50056,908,1,2025-08-23T23:24:03,2025-08-24T13:08:03,GEN-001,GEN-001,1,False,False,,False
10090,Address correction for #877722,"Hi, I think I entered the wrong address for order #877722, could you update it before it ships?",solved,low,question,web_widget,"vip,ecommerce",51779,903,1,2025-07-26T10:00:03,2025-07-26T20:11:03,ORD-005,ORD-005,1,False,False,,False
10091,Charged twice,"I was charged twice for order #701790, can you refund the duplicate?",solved,normal,question,web_widget,,52046,918,1,2025-06-15T07:38:16,2025-06-15T18:58:16,PAY-002,PAY-002,1,False,False,,False
10092,Feedback about the website,"Just some feedback, it would be great if the website had a size comparison tool.",closed,high,question,web_widget,ecommerce,50734,907,2,2025-08-29T07:55:02,2025-08-29T19:49:02,GEN-002,GEN-002,1,False,False,,False
10093,Can't complete checkout,"My card keeps getting declined when I try to check out, even though there are funds available.",pending,normal,question,web_widget,"priority,mobile_app",51372,900,2,2025-07-05T05:59:54,2025-07-05T12:23:54,PAY-001,PAY-001,1,False,False,,False
10094,Just wanted to say thanks,"Hi, your support team helped me out so quickly yesterday, really appreciated it.",solved,urgent,incident,web_widget,vip,50306,918,1,2025-07-10T14:14:42,2025-07-10T18:44:42,GEN-003,GEN-003,1,False,False,,False
10095,Need to change shipping address,"Hi, I think I entered the wrong address for order #838936, could you update it before it ships?",pending,low,question,web_widget,,53491,903,1,2025-08-13T12:13:43,2025-08-13T14:47:43,ORD-005,PRD-002,1,True,False,,False
10096,Wrong item received,I ordered the phone case but received a completely different item.,solved,low,incident,web_widget,priority,50535,906,2,2025-07-04T21:10:43,2025-07-05T05:51:43,PRD-002,PRD-003,1,True,False,,False
10097,Wrong address on order,"Hi, I think I entered the wrong address for order #532005, could you update it before it ships?",solved,normal,incident,web_widget,ecommerce,50141,919,1,2025-06-23T08:55:41,2025-06-24T00:29:41,ORD-005,ORD-005,1,False,False,,False
10098,Random query,"Hi, I have a question but I'm not totally sure it's the right team to ask.",solved,normal,problem,email,"priority,web",53312,915,1,2025-08-09T19:11:37,2025-08-10T04:51:37,GEN-OTHER,GEN-OTHER,1,False,False,,False
10099,Need to change shipping address,"I moved recently adn my order #614259 is still set to go to my old address, can this be fixed?",open,normal,question,web_widget,priority,53427,925,2,2025-07-15T19:17:34,2025-07-16T06:20:34,ORD-005,ORD-005,1,False,False,,False
10100,A suggestion for you,"Just some feedback, it would be great if the website had a size comparison tool.",open,low,question,web_widget,priority,50645,923,2,2025-08-12T01:48:40,2025-08-12T11:20:40,GEN-002,GEN-002,1,False,False,,False
10101,Disappointed with quality,"The wireless headphones I received feels much cheaper than it looked in the photos. Hi, my order arrived and the wireless headphones is broken, it won't turn on at all.",solved,low,problem,web_widget,,52605,902,2,2025-07-31T23:41:40,2025-08-01T17:50:40,PRD-005,PRD-005,1,False,True,PRD-001,False
10102,Disappointed with quality,The bluetooth speaker I received feels much cheaper than it looked in the photos.,solved,low,question,web_widget,"vip,ecommerce",50303,910,1,2025-07-05T04:12:10,2025-07-05T15:32:10,PRD-005,PRD-002,1,True,False,,False
10103,Return policy question,How many days do I have to return something after delivery?,solved,urgent,incident,web_widget,web,51939,903,1,2025-07-07T04:16:30,2025-07-07T17:17:30,RET-004,RET-004,1,False,False,,False
10104,Defective backpack,The backpack I ordered stopped working after 3 days of normal use.,open,normal,incident,email,vip,51714,917,1,2025-08-25T05:30:30,2025-08-25T08:36:30,PRD-001,PRD-001,1,False,False,,False
10105,Still waiting on refund for #441968,"Hi, when will I get my money back for the item I sent back?",solved,high,problem,email,,52978,925,1,2025-07-06T07:48:35,2025-07-06T20:22:35,RET-002,RET-002,1,False,False,,False
10106,Order #957091 status,"Hi, I placed order #957091 on Aug 11 and I can't find any tracking info. Can you tell me where it is?",pending,normal,problem,email,"priority,ecommerce",53054,915,2,2025-08-21T15:35:23,2025-08-22T01:21:23,ORD-001,ORD-001,1,False,False,,False
10107,Can't log in,"Hi, I can't log into my account, it keeps saying my password is wrong even after resetting it.",solved,normal,problem,email,"ecommerce,vip",51274,922,1,2025-06-13T08:19:49,2025-06-13T20:54:49,ACC-001,PRD-003,1,True,False,,False
10108,Duplicate charge on my card,"Hi, the amount charged to my card doesn't match my order total, can you check?",pending,normal,problem,web_widget,vip,50112,912,1,2025-08-17T17:12:36,2025-08-17T23:00:36,PAY-002,PAY-002,1,False,False,,False
10109,Defective phone case,"Hi, my order arrived and the phone case is broken, it won't turn on at all. Hi, the color/size I received doesn't match order #753898 at all.",solved,high,task,email,"priority,ecommerce",51880,908,1,2025-06-28T12:02:43,2025-06-28T22:03:43,PRD-001,PRD-001,1,False,True,PRD-002,False
10110,Where is my refund?,"I returned my order #507135 13 days ago and haven't seen a refund yet, can you check?",solved,normal,problem,web_widget,"vip,mobile_app",52684,915,2,2025-06-24T14:43:58,2025-06-25T02:52:58,RET-002,RET-002,1,False,False,,False
10111,Defective laptop sleeve,"Hi, my order arrived and the laptop sleeve is broken, it won't turn on at all.",closed,normal,incident,web_widget,,53486,903,1,2025-08-18T20:39:40,2025-08-19T03:44:40,PRD-001,PRD-001,1,False,False,,False
10112,My order is late,"Hi, my delivery is running late, I ordered the laptop sleeve over a week ago.",closed,normal,question,web_widget,"vip,priority",50019,914,1,2025-08-09T06:51:49,2025-08-09T14:18:49,ORD-002,ORD-002,1,False,False,,False
10113,Not as pictured,"Hi, the quality of this item really doesn't match the product description on the site.",closed,normal,question,web_widget,,50267,901,1,2025-06-27T11:19:29,2025-06-27T18:46:29,PRD-005,PRD-005,1,False,False,,False
10114,Stock availability question,"Hi, the winter coat shows as out of stock, do you know when it'll be available again?",solved,high,incident,web_widget,vip,52711,903,1,2025-06-02T19:07:03,2025-06-03T01:43:03,PRD-004,PRD-004,1,False,False,,False
10115,When will this be back in stock?,Is there any way to get notified when the smartwatch is restocked?,solved,low,question,web_widget,,50656,901,1,2025-08-22T20:42:13,2025-08-23T11:12:13,PRD-004,PRD-004,1,False,False,,False
10116,Where is my refund?,"I returned my order #752011 13 days ago and haven't seen a refund yet, can you check?",solved,normal,incident,web_widget,ecommerce,52717,920,1,2025-07-03T13:01:57,2025-07-04T06:05:57,RET-002,RET-002,1,False,False,,False
10117,Need a return label,What's the process to send back an item I ordered? It doesn't fit.,solved,high,question,email,priority,51684,914,1,2025-06-24T19:30:41,2025-06-25T06:03:41,RET-001,RET-001,1,False,False,,False
10118,Wrong item received,"Hi, the color/size I received doesn't match order #522866 at all.",closed,high,incident,email,web,51355,908,1,2025-06-21T06:30:35,2025-06-21T15:48:35,PRD-002,PRD-002,1,False,False,,False
10119,Refund status,"Hi, when will I get my money back for the item I sent back?",closed,low,incident,email,,53143,919,1,2025-08-05T05:33:42,2025-08-05T13:01:42,RET-002,RET-002,1,False,False,,False
10120,Does this come in other sizes?,"Hi, before I order the laptop sleeve, does it come in a larger size?",closed,normal,incident,web_widget,vip,53101,913,1,2025-07-28T15:20:53,2025-07-29T05:50:53,PRD-003,PRD-003,1,False,False,,False
10121,Out of stock item,"Hi, the backpack shows as out of stock, do you know when it'll be available again?",closed,high,question,web_widget,,51854,925,1,2025-07-08T13:39:38,2025-07-09T03:02:38,PRD-004,PRD-004,1,False,False,,False
